sector,INST_NAME,n_total,oa_share,n_total_sec
Leibniz Association,Leibniz-Institut für Kristallzüchtung (IKZ),532,0.30639097744360905,56620
Leibniz Association,Leibniz-Institut für Länderkunde - IfL,33,0.12121212121212122,56620
Leibniz Association,"Leibniz-Institut für Molekulare Pharmakologie, Berlin (FMP)",904,0.5641592920353983,56620
Leibniz Association,Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie e. V. Hans-Knöll-Institut (HKI),1182,0.6133671742808798,56620
Leibniz Association,Leibniz-Institut für Neurobiologie,872,0.5951834862385321,56620
Leibniz Association,Leibniz-Institut für Nutztierbiologie,986,0.4766734279918864,56620
Leibniz Association,Leibniz-Institut für Oberflächenmodifizierung (IOM),528,0.23295454545454544,56620
Leibniz Association,Leibniz-Institut für ökologische Raumentwicklung e. V.,139,0.20863309352517986,56620
Leibniz Association,Leibniz-Institut für Ostseeforschung Warnemünde (IOW),949,0.4541622760800843,56620
Leibniz Association,Leibniz-Institut für Pflanzenbiochemie,689,0.48911465892597966,56620
Leibniz Association,Leibniz-Institut für Pflanzengenetik und Kulturpflanzenforschung (IPK),1291,0.5453137103020914,56620
Leibniz Association,Leibniz-Institut für Plasmaforschung und Technologie e.V.,660,0.2287878787878788,56620
Leibniz Association,Leibniz-Institut für Polymerforschung Dresden e. V. (IPF),2201,0.18673330304407088,56620
Leibniz Association,Leibniz-Institut für Regionalentwicklung und Strukturplanung (IRS),52,0.09615384615384616,56620
Leibniz Association,Leibniz-Institut für Troposphärenforschung,850,0.6870588235294117,56620
Leibniz Association,Leibniz-Institut für Wissensmedien,545,0.3486238532110092,56620
Leibniz Association,Leibniz-Institut für Zoo- und Wildtierforschung,865,0.5260115606936416,56620
Leibniz Association,Leibniz-Zentrum für Agrarlandschafts- und Landnutzungsforschung (ZALF) e.V.,1181,0.36833192209991533,56620
Leibniz Association,Leibniz-Zentrum für Marine Tropenökologie (ZMT) GmbH,751,0.45006657789613846,56620
Leibniz Association,Leibniz-Zentrum für Psychologische Information und Dokumentation (ZPID),39,0.20512820512820512,56620
Leibniz Association,Mathematisches Forschungsinstitut Oberwolfach gGmbH,8,0.375,56620
Leibniz Association,Max-Born-Institut für Nichtlineare Optik und Kurzzeitspektroskopie (MBI),1309,0.4232238349885409,56620
Leibniz Association,Museum für Naturkunde Leibniz-Institut für Evolutions- und Biodiversitätsforschung (MfN),1403,0.413399857448325,56620
Leibniz Association,Paul-Drude-Institut für Festkörperelektronik (PDI),737,0.49389416553595655,56620
Leibniz Association,Potsdam-Institut für Klimafolgenforschung (PIK),2137,0.5970987365465606,56620
Leibniz Association,Rheinisch-Westfälisches Institut für Wirtschaftsforschung e.V.,207,0.5072463768115942,56620
Leibniz Association,Römisch-Germanisches Zentralmuseum (RGZM),66,0.21212121212121213,56620
Leibniz Association,Schloss Dagstuhl - Leibniz-Zentrum für Informatik GmbH (LZI),1,1,56620
Leibniz Association,Senckenberg am Meer Wilhelmshaven,518,0.3745173745173745,56620
Leibniz Association,Senckenberg Deutsches Entomologisches Institut Müncheberg,79,0.34177215189873417,56620
Leibniz Association,Senckenberg Forschungsinstitut und Naturmuseum Frankfurt,1772,0.33803611738148986,56620
Leibniz Association,Senckenberg Museum für Naturkunde Görlitz,242,0.3512396694214876,56620
Leibniz Association,Senckenberg Naturhistorische Sammlungen Dresden,498,0.23493975903614459,56620
Leibniz Association,Technische Informationsbibliothek (TIB),16,0.5625,56620
Leibniz Association,Weierstraß-Institut für Angewandte Analysis und Stochastik Leibniz-Institut im Forschungsverbund Berlin e. V. (WIAS),1114,0.59784560143626575,56620
Leibniz Association,Wissenschaftszentrum Berlin für Sozialforschung (WZB),552,0.4438405797101449,56620
Leibniz Association,ZBW - Deutsche Zentralbibliothek für Wirtschaftswissenschaften Leibniz-Informationszentrum Wirtschaft,13,0.5384615384615384,56620
Leibniz Association,Zentrum für Europäische Wirtschaftsforschung GmbH (ZEW),568,0.6126760563380281,56620
Leibniz Association,Zentrum für Zeithistorische Forschung Potsdam,51,0.09803921568627451,56620
Leibniz Association,Zoologisches Forschungsmuseum Alexander Koenig (ZFMK),876,0.4006849315068493,56620
Max Planck Society,Chemical Genomics Centre of the Max Planck Society,177,0.4350282485875706,93002
Max Planck Society,Ernst Strüngmann Institut (ESI),200,0.86,93002
Max Planck Society,Forschungszentrum caesar,303,0.6600660066006601,93002
Max Planck Society,Friedrich-Miescher-Laboratorium für biologische Arbeitsgruppen in der Max-Planck-Gesellschaft,101,0.8415841584158416,93002
Max Planck Society,Fritz-Haber-Institut der Max-Planck-Gesellschaft,2201,0.6624261699227624,93002
Max Planck Society,Max Planck Forschungsstelle für Enzymologie der Proteinfaltung,108,0.3425925925925926,93002
Max Planck Society,Max Planck UCL Centre for Computational Psychiatry and Ageing Research,33,0.8787878787878788,93002
Max Planck Society,Max-Planck-Institut für Astronomie,3725,0.9779865771812081,93002
Max Planck Society,Max-Planck-Institut für Astrophysik,2581,0.9752034095311894,93002
Max Planck Society,Max-Planck-Institut für ausländisches öffentliches Recht und Völkerrecht,48,0.3541666666666667,93002
Max Planck Society,Max-Planck-Institut für ausländisches und internationales Privatrecht,23,0.17391304347826086,93002
Max Planck Society,Max-Planck-Institut für ausländisches und internationales Strafrecht,51,0.0784313725490196,93002
Max Planck Society,Max-Planck-Institut für Bildungsforschung,1295,0.6277992277992278,93002
Max Planck Society,Max-Planck-Institut für Biochemie,1880,0.7095744680851064,93002
Max Planck Society,Max-Planck-Institut für Biogeochemie,1330,0.643609022556391,93002
Max Planck Society,Max-Planck-Institut für Biologie,4,0.5,93002
Max Planck Society,Max-Planck-Institut für Biologie des Alterns,448,0.859375,93002
Max Planck Society,Max-Planck-Institut für biologische Kybernetik,991,0.5842583249243188,93002
Max Planck Society,Max-Planck-Institut für Biophysik,603,0.6567164179104478,93002
